Category,Key,English,Bulgarian,Notes
,ev8b4o1t1,Work to do.,Има работа.,
,ev8b4o1t2,No want?,Не иска?,
,ev8b4o1t3,Still here...,Още си тук...,
,,,,
,ev9n,Healer,Лечител,
,ev9o1,The porcupine's have travelling clinics throughout the dungeon. They seek to heal the animals who venture deep into the dangers here.,"Бодливите свинчета имат пътуващи клиники из подземието. Те лекуват животни, които са слезли надълбоко.",
,ev9b1,Heal 25 health,Излекувай 25 живот,
,ev9b1o1,"She runs her paw across your wounds. The quills on her back shake and you are lost in the sound of them. When you come to, many wounds are healed.","Тя прекарва лапи през раните ти. Бодлите по гърба ѝ се тресат и ти се унасяш в звъненето им. Когато се свестяваш, раните ти са излекувани.",
,ev9b1o1t1,You look stronger my dear!,"Изглеждаш по-силен, скъпи мой!",
,ev9b1o1t2,Glad to have helped you!,"Радвам се, зе можах да помогна!",
,ev9b1o1t3,I am here for you!,Тук съм за теб!,
,ev9b1o1t4,Those wounds are gone.,Раните ти изчезнаха.,
,ev9b2,Gain 5 max health ,+5 максимум живот ,
,ev9b2o1,"She reaches out to you. You feel a great strength in you rising. Your paws are firmly planted, but it almost feels that you are floating.","Тя се пресяга към теб. Чувства голяма сила да се надига в теб. Лапите ти са здраво стъпили, но имаш чувството че летиш.",
,ev9b2o1t1,You are stronger now than before.,Сега си по-силен от всякога.,
,ev9b2o1t2,I see your strength.,Виждам силата ти.,
,ev9b2o1t3,May you achieve what seemed impossible.,Дано да постигнеш невъзможното.,
,ev9b2o1t4,Your bravery astounds me.,Смелостта ти ме удивява.,
,ev9b3,Remove all curses,Махни всички проклятия,
,ev9b3o1,"I sense a great disturbance, she says. ""Something horrible has been placed in your backpack. Let me see."" She removes a single quill and pokes it into your bag carefully in several spots. ""That should do it,"" she says.","""Усещам голямо смущение"", казва тя. ""Има нещо ужасно в раницата ти. Дай да видя."" Тя взима един от бодлите си и започва да ръчка по раницата ти. ""Това трябва да е достатъчно,"" казва тя.",
,ev9b3o1t1,The curses can't hurt you now.,Проклятията не могат да ти навредят повече.,
,ev9b3o1t2,Your backpack is a true friend.,Раницата ти е истински приятел.,
,ev9b3o1t3,Curses are temporary.,Проклятията са временни.,
,ev9b3o1t4,Heroics are forever.,Георизмът е вечен.,
,ev9b4,Nothing for me,Нищо за мен,
,ev9b4o1,Very well she says.,"""Много добре"", казва тя.",
,ev9b4o1t1,We are with you,С теб сме,
,ev9i1,Welcome to our healing center!,Добре дошъл в лечебния ни център!,
,ev9i2,We are here to protect the brave!,Ние сме тук да защитаваме смелите!,
,ev9i3,"Come hero, let me heal you!","Ела, нека те излекувам!",
,ev9f1,Stay safe!,Пази се!,
,ev9f2,My sisters are here for you!,Сестрите ми са тук за теб!,
,ev9f3,May we meet again!,Дано се срещнем пак!,
,,,,
,ev10n,Magic Font,Магически Извор,
,ev10o1,"Nestled deep in a throng of mushrooms you see a magical font, its cool waters flowing. Above the water, a humid mist circles and spills over the edge. In the distance  you hear frogs croaking... no... chanting.","Сгушен дълбоко насред гора от гъби, виждаш магически извор. Хладните му води пръскат наоколо. Над водата, влажна мъгла се разлива над ръба. В далечината чуваш жабожи да крякат ... не... да припяват.",
,ev10b1,Say a prayer...[+3 max hp],Пожелай си нещо...[+3 максимум живот],
,ev10b1o1,"You wish to make it home safely, your backpack overflowing with rare cheeses. You feel a warmth in you. You can do this!","Пожелаваш си да се прибереш вкъщи безопасно, раницата ти се препълва с редки сирена. Чувстваш топлина в себе си. Можеш да го направиш!",
,ev10b2,take a bath [+15 hp],Изкъпи се [+15 живот],
,ev10b2o1,The water feels warm and relaxing on your skin. The croaking grows louder. From behind a mushroom a frog nods at you. Your wounds are healed.,"Водата е хладна и успокояваща по козината ти. Крякането става по-силно. Зад една от гъбите, една жаба ти кима. Раните ти са излекувани.",
,ev10b3,Kick it over! [Start a battle!],Срирай то! [Започва битка!],
,ev10b3o1,"You watch the water as it flows across the floor of the dungeon. It pools up around the feet of an enemy. You look up. The frogs are not happy. ""Zealot!"" they cry and attack!","Гледаш как водата се стича по пода на подземието. Образува локва в краката на противник. Поглеждаш нагоре. Жабите не изглеждат доволни. Атакуваш ги с викове ""Фанатици!""!",
,,,,
,ev11n,Buckler-o,Щит-о,
,ev11extra,Drop the li'l Buckler! You can take the item you land on!,"Пусни малкия щит! Можеш да вземеш предмета, върху който падне!",
,ev11i1,Nothing up my sleeves!,Нямам нищо в ръкавите!,
,ev11i2,My left foot is lucky!,Лявото ми краще е късметлийско!,
,ev11i3,My house looks like a hat!,Къщата ми прилича на цилиндър!,
,ev11f1,Magical!,Магическо!,
,,,,
,ev12n,The Alchemist,Алхимикът,
,ev12o1,"Well hello there. Her voice is cool and friendly - not what you expected. ""May I interest you in some potions? In return... I ask for just a taste."" ""A taste? Of me?"" you ask. ""Just a nibble darling,"" she says. ""You'll barely feel a thing.""","""О, здравей"". Гласът е спокоен и приятен - не какъвто очакваше. ""Мога ли да те заинтересуват с отвари? В замяна... Искам само да опитам."" ""Да опиташ? От мен?"" я питаш ти. ""Само хапка, скъпи,"" казва тя. ""Едва ще усетиш нещо.""",
,ev12b1,Get a potion. [Lose 5 health],Вземи отваря. [-5 живот],
,ev12b1o1,"Her teeth press into your neck. ""Oh delicious. May I tempt you again?""","Зъбите ѝ се впиват във врата ти. ""О колко вкусно. Бих ли могла да те изкуша отново?""",
,ev12b2,No thanks!,"Не, благодаря!",
,ev12b2o1,"Very well darling, she says. ""Though I am sorry to see you go.""","""Много добре, скъпи"", казва тя. ""Въпреки че съжалявам, че си тръгваш.""",
,ev12b2o1t1,"Your loss, my sweet.","Ти губи, сладък.",
,ev12i1,"So vital. Mmm, delicious.","Толкова жизенен. Ммм, вкусно.",
,ev12i2,The proper ingredients for the potion...,Правилните съставки за отвара...,
,ev12i3,We brew what we can  to do what we must,"Варим каквото можем, за да правим каквото трябва",
,ev12i4,"A drop of red, a drop of green...","Червена капка, зелена капка...",
,ev12f1,My dear there are reasons why things are as they are.,"Има причина нещата да са такива, каквито са, скъпи",
,ev12f2,Come freely. Go safely darling.,"Идвай когато искаш. Върви си със здраве, скъпи.",
,,,,
,ev13n,Trading up,Замяна,
,ev13o1,"Your snout wiggles as you inhale a musky odor. Someone here is in need of a bath. You turn around and standing there is a rat. You never heard him come out. ""Let's make a trade."" he says. ""I'll give you a rarer item of the same type...""  He chuckles. There are no guarantees.","Муцуната ти Your snout потръпва, когато вдишваш  as you inhale a мускусен аромат. Някой тук има нужда от баня. Обръщаш се и виждаш пред теб да стои плъх. Не си чул кога е дошъл. ""Нека направим сделка."", казва той. ""Ше ти дам по-рядък предмет от същия вид..."", подхилва се той. ""Не давам гаранции.""",
,ev13b1,Get a rarer item of the same type,Вземи по-рядък предмет от същия вид,
,ev13b1o1,"He takes the item and examines it. ""How's this for a trade?"" There's no time to say no.","Той взима предмета и го изследва. ""Какво мислиш за тази размяна?"" Нямаш време да кажеш не.",
,ev13b1o1t1,Hehehe,Хехехе,
,ev13b1o1t2,Hope ya' like it,Надя'ам се да го харесаш,
,ev13b1o1t3,No take backsies,Без връщанки,
,ev13b2,No thanks,"Не, благодаря",
,ev13b2o1,"You see his tail flick ominously beneath his cloak. A smile crosses his lips. ""Come now,"" he says. ""I think you'll see it's in your interest.""","Вижаш опашката му да се мята зловещо под наметалото му. Усмивка се промъква на устните. ""Ела"", казва той. ""Ще видиш, че това е в твой интерес.""",
,ev13b2o1t1,Don't resist this deal,Не можеш да устоиш на тази сделка,
,ev13b2o1t2,Let me tempt you,Нека те изкуша,
,ev13b2o1t3,"Come now, let's trade","Ела да търгуваме",
,ev13i1,What are ya' trading?,Какво търгуваш?,
,ev13i2,Lets make a deal!,Нека направим сделка!,
,ev13i3,Care to do a trade?,Интересуваш ли се от сделка?,
,ev13f1,He he he,Хе хе хе,
,ev13f2,What a sucker...,Ама че загубеняк...,
,,,,
,ev14n,Shady Trader,Съмнителен Търговец,
,ev14o1,"His cloak billows as he steps out from the shadows. ""We can make a trade, you and I."" he says. You know risks are involved.","Наметалот се подмята когато той приситъпва от сенките. ""Може да напраим размяна, ти и аз."", казва той. Знаеш, че има риск.",
,ev14b1,Get a different item of the same rarity,Вземи различен предмет от същата рядкост,
,ev14b1o1,He takes your item and from his cloak pulls a replacement.,Той взима предмета ти и вади друг в замяна от наметалото си.,
,ev14b2,No thanks!,"Не, благодаря!",
,ev14b2o1,"Very well, he says. ""But can I perhaps change your mind?""","""Много добре"", казва той. ""Може би ще мога да ти променя решението?""",
,ev14b2o1t1,The offer still stands.,Офертата остава.,
,,,,
,ev15n,squirrel patrol,Патрулираща Катерица,
,ev15o1,"The squirrel looks at you absent mindedly. ""Long ago I retired from the patrol"", he says. ""Now I spend my days adventuring and reliving my glory days. I don't need much of my old equipment anymore. Can I interest you in something?""","Какерицата те гледа разсеяно. ""Отдавна се пенсионирах от патрула"", казва той. ""Сега прекарвам дните си в приключения и преживявам славните си дни. Но вече не ми трябва старата екипировка. Бих ли те заинтересувал с нещо?""",
,ev15b1,"""I'll take a shield""","""Ще взема щит""",
,ev15b1o1,"From beneath his bushy tail, he pulls a shield. ""This may protect you. Remember, loot is only valuable if you make it back alive.""","Той изкарва един щит изпод гъстата си опашка. ""Това ще те защити. Не забравяй, че плячката е ценна, само ако излезеш жив.""",
,ev15b1o1t1,I hope the shield serves you well!,Надявам се щитът да ти служи добре!,
,ev15b2,"""I'll take a weapon""","""Ще взема оръжие""",
,ev15b2o1,"He reaches into his tunic and pulls out a weapon, tossing it to you.","Той бърка в туниката си, вади оръжие и ти го подхвърля.",
,ev15b2o1t1,Strike down any who oppose the patrol!,"Срази противниците на патрула!",
,ev15b2o1t2,The patrol lives by these weapons!,Патрулът живее чрез тези оръжия!,
,ev15b3,Maybe something to eat,Може би нещо за ядене,
,ev15b3o1,"He scratches at the ground. Beneath his feet is a mound of nuts and hidden among them, many a delicious food.","След известно драскане по земята, в краката мусе появяват купчина ядки и друга вкусна храна.",
,ev15b3o1t1,An army marches on its stomach!,Дори и армията марширува на пълен стомах!,
,ev15b3o1t2,Better than what we used to eat on the patrol.,"По-добре от това, което ядохме в патрула.",
,ev15i1,Hark! You are greeted by a member of the patrol!,Слушай! Поздравява те член на патрула!,
,ev15f1,Long live the patrol!,Да живее патрулът!,
,ev15f2,The patrol shall conquer!,Патрълът ще пребъде!,
,ev15f3,"In retirement, I still patrol!","Дори в пенсионер, аз все още патрулирам!",
,,,,
,ev16n,Statue of Anna,Статуя на Ана,
,ev16o1,"Inscribed on the statue: ""Anna bestowed gifts The world felt safe in her arms healer in a fire""","На статуята е гравирано: ""Анна беше дар на света, той беше по-безопасен в нейните лековити огнени ръце""",
,ev16b1,Gain 5 max hp,+5 максимум живот,
,ev16b1o1,You leave a coin. Then kneel before the statue and say a prayer. Anna somehow seems to reflect light even in this dark place.,Оставяш монето. След това коленичиш и казваш молитва. Светлината на Ана сякаш достига дори и това тъмно място.,
,ev16b2,Steal coins [Get 10 gold or a fight begins],Открадни монети [+10 злато или започва битка],
,ev16b2o1,Travelers leave coins by the statue as a token for their prayers. You decide that Anna won't miss just a few.,"Пътешественице оставят монети до статуята с молитвите си. Решаваш, че на Ана няма да ѝ липсват няколко.",
,ev16b2o2,"You approach the statue to grab a few coins. As the coins jingle, you turn to see an approaching group of enemies.","Приближаваш се до статуята, за да вземеш няколко монети. Подрънквай ги в ръка, се обръщаш и виждаш наближаваща група противници.",
,ev16b3,Излез,Излез,
,ev16b3o1,You say a quick prayer. You decide to leave the statue behind.,Казваш бърза молитва. Решаваш да оставиш статуята зад себе си.,
,,,,
,ev17n,A Red fox in the dark,Червена лисица в тъмното,
,ev17o1,"The fox steps out from the shadows. ""Natural prey."", he says. ""If we battle, I shall make short work of you. Be ye friend or foe?""","Лисицата излиза от сенките. ""Естествената ми плячка."", казва той. ""Ако се бием, ще ти видя сметката много бързо. Приятел ли си или враг?""",
,ev17b1,I'm a friend!,Приятел!,
,ev17b1o1,He nods and steps aside to let you pass. Your tail twitches instinctively. You're lucky he let you live.,"Той ким и те оставя да минеш покрай него. Опашката ти трепери инстинктивно. Късметлия си, че те остави да живееш.",
,ev17b1o1t1,Be gone then!,"Тръгвай, тогава!",
,ev17b1o1t2,Don't make me regret it!,Не ме край да съжалявам!,
,ev17b1o1t3,I shall watch you.,Ще те наблюдавам.,
,ev17b2,I'm a foe! [Start Combat],Враг! [Започва битка],
,ev17b2o1,He draws his sword. Slowly sizing you up...,Той вади меча си. Бавно преценявайки те се поглед...,
,ev17b2o2,"He draws his sword... and then... stops. ""Ha!"" he laughs. ""A rat with the heart of a fox. I respect you. You may have my blade.""","Той вади меча си... и... спира. ""Ха!"", смее се. ""Плъх със сърце на лисица. Спечели уважението ми. Можеш да вземеш и меча ми.""",
,ev17b2o2t1,I respect your courage,Уважавам куража ти,
,ev17i1,Fear me brigand!,"Страхувай се от мен, разбойнико!",
,ev17i2,"Oh look, a weak little rat.","Я виж ти, дребен слаб плъх.",
,ev17i3,"If I was hungry, you'd be dead already.","Ако бях гладен, вече щеше да си мъртъв.",
,ev17f1,Don't make me regret it!,Не ме карай да съжалявам!,
,ev17f2,I've never spared a life before.,Никога досега не бях пощадявал живот.,
,ev17f3,I shall be watching you.,Ще те наблюдавам.,
,,,,
,ev18n,shamanic turtle,Шаманска Костенурка,
,ev18o1,"A waft of smoke passes by your nose. What is that? You smell a lot of strange things in the swamp, but ritual smoke of the turtles has an unmistakable order. Smells sweet like chocolate. Smells like they need to wash their shell too. ""Our magic is a gamble."" she says to you. ""Will you let fate guide you?""","Полъх на пушек стига до носа ти. Какво е това? Подушваш много странни неща в блатото, но ритуалния пушек на костенурките има много специфична миризма. Мирише сладко като шоколад. Мирише и като че трябва да си изперат черупките. ""Магията ни е хазарт."", ти казва тя. ""Ще оставиш ли съдбата да те води?""",
,ev18b1,80% legendary 20% other,80% легендарнен 20% друг,
,ev18b1o1,"Fortune favors you and a legendary item appears at the base of her staff. ""Lucky"", she says.","Съдбата те благославя и в основата на тоягата ѝ се появява легендарен предмет. ""Късметлия"", казва тя.",
,ev18b1o2,"Alas, she says. ""The spirits are not speaking today. Perhaps this item can still be useful to you.""","""Уви"", казва тя. ""Духовете не говорят днес. Може би и този предмет ще ти е полезен.""",
,ev18b2,70% legendary 30% other,70% легендарен 30% друг,
,ev18b2o1,"Fortune favors you and a legendary item appears at the base of her staff. ""Lucky"", she says.","Съдбата те благославя и в основата на тоягата ѝ се появява легендарен предмет. ""Късметлия"", казва тя.",
,ev18b2o2,"Alas, she says. ""The spirits are not speaking today. Perhaps this item can still be useful to you.""","""Уви"", казва тя. ""Духовете не говорят днес. Може би и този предмет ще ти е полезен.""",
,ev18b3,50% legendary 50% other,50% legendary 50% other,
,ev18b3o1,"Fortune favors you and a legendary item appears at the base of her staff. ""Lucky"", she says.","Съдбата те благославя и в основата на тоягата ѝ се появява легендарен предмет. ""Късметлия"", казва тя.",
,ev18b3o2,"Alas, she says. ""The spirits are not speaking today. Perhaps this item can still be useful to you.""","""Уви"", казва тя. ""Духовете не говорят днес. Може би и този предмет ще ти е полезен.""",
,ev18b4,10% legendary 90% other,10% legendary 90% other,
,ev18b4o1,"Fortune favors you and a legendary item appears at the base of her staff. ""Lucky"", she says.","Съдбата те благославя и в основата на тоягата ѝ се появява легендарен предмет. ""Късметлия"", казва тя.",
,ev18b4o2,"Alas, she says. ""The spirits are not speaking today. Perhaps this item can still be useful to you.""","""Уви"", казва тя. ""Духовете не говорят днес. Може би и този предмет ще ти е полезен.""",
,ev18b5,No thanks!,"Не, благодаря!",
,ev18b5o1,She nods her head,Тя кима с глава,
,ev18i1,Hey - cute little one!,"Хей - сладък, малък!",
,ev18i2,Come here let me pinch your cheek.,Ела тук и ми дай да те ощипя по бузата.,
,ev18f1,Goodbye child.,"Чао, дете.",
,ev18f2,Come back soon now!,Да се върнеш скоро!,
,ev18f3,"You stay away from deep water, okay?","И стой далеч от дълбоките води, ок?",
,,,,
,ev19n,Wheel,Колелото,
,ev19o1,Spin the wheel!,Завърти колелото!,
,ev19i1,Spin the choice!,Завърти избора!,
,ev19i2,Will you take a spin?,Ще направиш ли една врътка?,
,ev19i3,Spin and see what you get!,Завърти колелото и виж какво печелиш!,
,ev19i4,"Spin the wheel, win a prize, thank me later!","Завърти колелото, вземи награда, благодари ми после!",
,ev19f1,Thanks for playing!,"Благодаря за играта!",
,ev19f2,Hope you had fun!,Дано да си се забавлявал!,
,ev19f3,Moles are the best gamers.,Къртиците са най-добрите играчи.,
,,,,
,evCardi1,The cards hold your future - or your doom!,Картите показват бъдещето ти - или гибелта ти!,
,evCardf1,The truth is in the cards,Истината е в картите,
,,,,
,ev20n,Apprentice of Magic,Чирак Магьосник,
,ev20o1,"You discover a rabbit in a witch's hat. It's a bit too big for her, pushing her ears back. ""I've been learning all about magic! It's really amazing - even though frogs tell me its changing soon!""","Откриваш зеек с вещерска шапка. Малко ѝ е голяма и избутва ушите ѝ назад. ""Уча всичко за магията! Наистина е удивително - върпеки, че жабите ми казва, че скоро ще се промени!""",
,ev20b1,Buy a wand,Купи магичекса пръчка,
,ev20b1o1,"You can have my first wand, she says. ""I've outgrown it. I'm on my second wand now.""","""Можеш да вземеш моята първа магическа пръчка"", казва тя. ""Надраснала съм я. Вече съм на втората ми пръчка.""",
,ev20b1o1t1,Hope you like it!,Надявам се ти харесва!,
,ev20b1o1t2,I'll miss that wand!,Ще ми липсва тази пръчка!,
,ev20b2,No thanks,"Не, благодаря",
,ev20b2o1,"Oh well, she says. ""I guess I still have a few things to learn from this wand anyway.""","""Ех, добре"", казва тя. ""Предполагам, че има какво още да науча от нея.""",
,ev20b2o1t1,"Don't need my wand, huh?","Нямаш нужда от магическата ми пръчка, а?",
,ev20b2o1t2,Only as good as your wand!,Добра колкото твоята магическа пръчка!,
,ev20i1,Oh boy! Another adventurer!,"Ох леле! Още един приключенец!",
,ev20i2,Gee! An explorer here?!,"Господи! Изследовате, тук?!",
,ev20i3,Are you learning to be a mage too?,"И ти ли се учиш за магьосник?",
,ev20i4,I'm not alone!,Не съм сама!,
,ev20f1,This was great!,Това беше страхотно!,
,ev20f2,Wow! I hope to see you so soon!,Уау! Надявам се да те видя пак скоро!,
,ev20f3,So glad we met!,"Толкова се радвам, че се запознахме!",
,ev20f4,Bi'ya! Bi'ya!,Чао! Чао!,
,,,,
,ev21n,Scholar of Magic,Ученик Магьосник,
,ev21o1,"A rabbit is here practicing spells on a nearby rock. ""I've learned so much,"" she says. ""Can I interest you in a magic book?""","Тук има заек, който тренира магии върху близкия камък. ""Научих толкова много,"" казва тя. ""Мога ли да те заинтересувам в една магичска книга?""",
,ev21b1,Buy a book,Купи книга,
,ev21b1o1,"Enjoy your read! she says. ""And let me know if you want to hang out sometime soon. I'm free pretty much any time.""","""Забавлявай се с четивото!"", казва тя. ""Кажи ми ако искаш да си поговирим пак скоро. Свободна съм на практика по всяко време.""",
,ev21b1o1t1,Hope you like it!,Дано да ти хареса!,
,ev21b1o1t2,It's a real page turner!,Много интересна книга!,
,ev21b1o1t3,Read it too many times already.,Аз вече я прочетох твърде много пъти.,
,ev21b2,No thanks,"Не, благодаря",
,ev21b2t1,Book still available!,Книгата е все още налична!,
,ev21b2t2,I guess I can read it again.,"Предполагам, че ще мога да я прочета още веднъж.",
,ev21b2t3,I'll read it a few more times.,Ще я прочета още няколко пъти.,
,ev21b2t4,I can probably learn a lot from this.,Вероятно има още какво да науча от нея.,
,,,,
,ev22n,Matthew's Blessing,Благословията на Матю,
,ev22o1,"A wise rabbit sits there, meditating in the midst of this dangerous place. ""Fear not"", he says. """"My name is matthew, and I have lived here for many years. With proper organization, any challenge may be overcome. Now let me assist you...""","Тук седи мъдър зеаек, медитиращ насред това опасно място. ""Не се страхувай"", казва той. ""Името ми е Матю и живея тук от много години. Всяко предизвикателство може да бъде преодоляно с добра организация. Позволи ми да ти съдействам...""",
,ev22b1,start with 2 uncommon items,Започни с 2 необикновени предмета,
,ev22b1o1,"Indeed, says Matthew. ""But remember, rare items are a crutch. Good organization requires skill - not rarity.""","""Наистина"", казва Матю. ""Помни, редките предмети са бастуни. Добрата организация изисква умение, а не редки предмети.""",
,ev22b2,gain 10 max hp,+10 максимум живот,
,ev22b2o1,"True strength comes from your backpack, he says. ""Don't forget it""","""Истинската сила идва от раницата ти"", казва той. ""Не го забравяй""",
,ev22b3,Become an archer,Стани стрелец,
,ev22b3o1,"""Archery is a true art form. So many pieces must be carefully placed."" He produces a bow and arrows. ""Perhaps I can help you begin""","""Стрелбата е истинска форма на изкуство. Толкова много неща трябва да се поставят внимателно."", той ти връчва лък и стрели. ""Мое би мога да ти помогна като за начало""",
,ev22b4,Get a rare item,Започни с рядък предмет,
,ev22b4o1,"True strength comes from your backpack, he says. ""Don't forget it""","""Истинската сила идва от раницата ти"", казва той. ""Не го забравяй""",
,ev22i1,Allow me to help you...,Позволи ми да ти помогна...,
,ev22i2,"With care, even you can survive...","С предпазливост, дори и ти може да оцелееш...",
,ev22i3,Take time to organize...,Отделяй време да организираш...,
,ev22i4,You will make it! Just organize...,Ще се справиш! Само се организирай...,
,ev22i5,It's all about arrangement...,Всичко е в подредбата...,
,ev22i6,What you carry says a lot about you...,"Това, което носиш, говори много за теб...",
,ev22i7,A beautiful backpack  is its own reward...,Красива раница е награда по само себе си...,
,ev22i8,Everything in its place...,Всичко си е на мястото...,
,ev22i9,A perfect backpack... a fantasy...,Перфектната раница... страхотно...,
,ev22i10,"Accept what you get, organize...","Приемай каквото получаваш, организирай...",
,ev22i11,When your backpack is full of lemons...,Когато раницата ти е пълна с лимони...,
,ev22f1,I have faith...,Имам вяра...,
,ev22f2,I know you will make it...,"Знам, че ще се справиш...",
,ev22f3,I believe in you...,Вярвам в теб...,
,ev22f4,My blessings guide you...,Нека благословията ми те води...,
,ev22f5,Let your backpack show you the way..,Нека раницата ти показва пътя...,
,,,,
,evss,Want to see what I have today?,Искаш ли да видиш какво имам днес?,store
,evso1,Here's what I have today...,Ето какво имам днес...,
,evso2,Found most of these under a toadstool,Намерих повечето от тези под една мухоморка,
,evso3,I have selections from across the land!,Имам стока от цялата страна!,
,evso4,Rare items for you!,Редки предмети за теб!,
,evsr1,Not right for you?,Не те ли устойва?,
,evsr2,"Okay, here's your money back!","Окей, ето ти парите обрано!",
,evsr3,I was sorry to let this go anyway!,И без това не исках да го продвам!,
,evsr4,I'll take it back!,Ще си го взема обратно!,
,evss1,More money for me!,Повече пари за мен!,
,evss2,Okay - hand it over,Окей - давай го насам,
,evss3,I'll try it out,Ще го пробвам,
,evss4,I'll buy that for a dollar!,Ще купя това за пет лева!,
,evsf1,Yum! I'll be taking that!,Ням-ням! Ще взема това!,
,evsf2,I want that!,Искам това!,
,evsf3,Woah! A tasty fly! Give me!,Уау! Вкусна муха! Дай насам!,
,evsa1,Thank you!,Благодаря ти!,
,evsa2,Economics!,Икономика!,
,evsa3,Hope you enjoy it!,Надявам се да ти хареса!,
,evsa4,It looks good on you!,Добре ти стои!,
,evsa5,Frogs have no use for these anyway!,Жабите не се нуждаят от тях и без това!,
,evsa6,Trading is fun!,Търговията е забавна!,
,evsa7,Right into your backpack!,Право в раницата ти!,
,evsgb1,See you later!,До после!,
,evsgb2,Good luck storming the dungeon!,Успех с щурмуването на подземието!,
,evsgb3,See you again soon!,До скоро!,
,evsgb4,Let me know if you see any tasty flies!,Кажи ми ако намериш вкусни мухи!,
,evsca1,Maybe if you get some more money!,Може би ако имаше повече пари!,
,evsca2,You can't afford this!,Не можеш да си го позволиш!,
,evsca3,You need more coins!,Трябват ти повече монети!,
,evsca4,I need payment!,Трябва да си платиш!,
,evsca5,This isn't a charity!,Това не е благотворителност!,
,evsca6,Nothing is free,Нищо не е безплатно,
,,,,
buttons,b1,End Turn,Край на хода,
,b2,Stats,Статистика,
,b3,Save Game,Запиши играта,
,b4,options,Настройки,
,b5,reorganize,Пренареди,
,b6,Scratch,Драскай,
,b7,done,Готово,
,b8,Go adventuring!,Започни приключениетоп!,
,b9,cancel,Отмяна,
,bd1,Scratch the enemy for 3 damage. Costs 1 Energy,Драскай врага за /x щета. Струва /y Енергия,
,bd2,Reorganize your inventory in battle. Costs 3 energy,Пренареди си раницата в битка. Струва 3 Енергия,
hud,h1,floor,етаж,
,h2,experience,опит,
,h3,max level,максимално ниво,
status effects,se1,Poison,Отрова,
,se1d,Will take /x damage at start of turn,Ще понесе /x щета в началото на хода,
,se2,Regen,Регенерация,
,se2d,Will recover  /x health at start of turn,Ще възстанови /x живот в началото на хода,
,se3,Spikes,Шипове,
,se3d,Will deal /x damage if attacked,"Ще направи /x щетва, ако бъде атакуван",
,se4,Haste,Бързина,
,se4d,Will add /x additional block when blocking,"Ще добави /x допълнително блок при блокиране",
,se5,Slow,Забавяне,
,se5d,Will reduce block by /x when blocking,Ще намали блока с /x при блокиране,
,se6,Rage,Ярост,
,se6d,Will add /x damage when attacking with a weapon,"Ще добави /x щета, когато атакува с оръжие",
,se7,Weak,Слабост,
,se7d,Will reduce /x damage when attacking with a weapon,"Ще намели с /x щета, когато атакува с оръжие",
,se8,Dodge,Отбягване,
,se8d,The next /x attacks will do no damage,Следващите /x атаки няма да направят щета,
,se9,Frozen,Замразен,
,se9d,/Will take no action for /x turns,/Няма да предприеме действия за /x хода,
,se10,Burn,Изгаряне,
,se10d,Will take /x damage at start of turn. This can be blocked,Ще поеме /x щета в началото на хода. Това може да се блокира,
,t1,On use,При употреба,
Store,Cost,Cost,Цена,
,onSale,On Sale,Намаление,
Rarities,common,common,обикновен,
,uncommon,uncommon,необикновен,
,rare,rare,рядък,
,legendary,legendary,легендарен,
Types,weapon,Weapon,Оръжие,
,Armor,Armor,Броня,
,Shield,Shield,Щит,
,Accessory,Accessory,Аксесоар,
,Bow,Bow,Лък,
,Arrow,Arrow,Стрела,
,Consumable,Consumable,Консуматив,
,Gold,Gold,Злато,
,Manastone,Manastone,Камък Мана,
,Key,Key,Ключ,
,Curse,Curse,Проклятие,
,Ingredient,Ingredient,Съставка,
,Wand,Wand,Магическа пръчка,
,Book,Book,Книга,
,Cleaver,Cleaver,Сатър,
,Clothing,Clothing,Дреха,
,Helmet,Helmet,Шлем,
,Footwear,Footwear,Обувки,
,Fish,Fish,Риба,
,Relic,Relic,Реликва,
,Glove,Glove,Ръкавица,
,Magic,Magic,Магия,
,Gem,Gem,Скъпоценен камък,
,Structure,Structure,Сграда,remaining times that an item can be used
,Ring,Ring,Пръстен,
,Rune,Rune,Руна,
Limits,ul,use,използвай,
,ulp,uses,използвания,
,ul1,1 use,1 използване,
,ul2,/x uses,/x използвания,
,ul3,Can be used 1 time each turn,Може да се ползва веднъж на ход,
,ul4,Can be used /x times each turn,Може да се ползва /x пъти на хода,
,ul5,Can be used 1 time this turn,CМоже да се ползва веднъж този ход,
,ul6,Can be used /x times this turn,Може да се ползва /x пъти този ход,
,ul7,Can be used 1 time each combat,Може да се ползва веднъж на битка,
,ul8,Can be used /x times each combat,Може да се ползва /x пъти на битка,
,ul9,Can be used 1 time this combat,Може да се ползва веднъж тази битка,
,ul10,Can be used /x times this combat,Може да се ползва /x пъти тази битка,
,,,,
triggers,t2,When destroyed,Когато се унищожи,
,t3,When added,Когато се добави,
,t4,When removed,Когато се махне,
,t5,Each turn,Всеки ход,
,t6,When your turn ends,Когато ти приключи хода,
,t7,Each combat,Всяка битка,
,t8,When combat ends,Когато битката свърши,
,t9,On kill,При убийскто,
,t10,On kill (non summon),При убийство (на не-призован),
,t11,When rotated,Когато се завърти,
,t12,When out of uses,Когато му свършат използванията,
,t13,When used,Когато се използва,
,t14,When selected,Когато се избере,
,t15,On take damage,При поемане на щета,
,t16,When this moves,Когато се движи,
,t17,When this finishes moving,Когато спре да се движи,
